Ehefrau,Ehemann,10,5,8,6,5,5,8,3,7,7,8,4,10,6.62
Buch,Text,6,0,10,3,6,9,5,7,8,6,8,6,7,6.23
Bräutigam,Braut,10,5,10,3,8,5,7,1,5,6,8,5,10,6.38
Nacht,Tag,8,5,8,1,3,5,2,3,4,3,9,1,10,4.77
Süden,Norden,8,5,5,1,4,2,1,1,3,5,8,1,7,3.92
Flugzeug,Flughafen,9,0,8,3,6,8,6,6,4,5,9,4,8,5.85
Onkel,Tante,7,5,8,4,7,5,7,3,5,8,2,3,6,5.38
Pferd,Stute,5,10,10,3,7,5,8,8,5,7,2,8,8,6.62
Unterseite,Oberseite,10,5,8,4,1,1,3,2,5,6,10,1,10,5.08
Freund,Kumpel,9,10,10,5,8,8,2,9,10,8,9,9,8,8.08
Student,Schüler,9,5,10,8,9,10,9,7,8,9,9,10,9,8.62
Welt,Globus,10,5,9,2,6,7,9,10,9,6,5,8,9,7.31
Bein,Arm,6,0,9,4,4,5,7,0,6,5,3,1,9,4.54
Flugzeug,Düsenflugzeug,9,10,10,7,8,7,9,10,9,8,3,8,9,8.23
Frau,Mann,9,5,8,5,2,5,3,2,7,4,6,1,7,4.92
Pferd,Fohlen,5,10,9,2,8,7,8,9,6,7,8,8,9,7.38
Schauspielerin,Schauspieler,9,5,10,9,9,4,10,6,7,6,10,10,8,7.92
Lehrer,Ausbilder,6,10,10,4,9,10,9,10,5,9,7,9,7,8.08
Film,Streifen,2,10,3,6,5,7,7,8,8,3,7,8,7,6.23
Vogel,Habicht,10,0,10,4,5,8,8,6,8,7,5,1,7,6.08
Wort,Wörterbuch,6,5,8,2,6,9,8,7,7,8,4,7,8,6.54
Geld,Gehalt,9,10,9,4,10,8,9,9,8,7,3,8,10,8.00
Hund,Katze,6,5,7,3,3,4,4,1,5,1,7,1,4,3.92
Gegend,Region,10,10,10,3,9,9,9,10,9,5,9,9,5,8.23
Marine,Armee,8,5,8,5,7,7,8,8,7,8,9,8,10,7.54
Buch,Literatur,7,10,10,6,7,8,8,9,8,2,6,8,6,7.31
Kleider,Schrank,6,0,7,2,1,3,3,4,4,1,2,6,8,3.62
Sonnenuntergang,Sonnenaufgang,8,5,8,2,7,5,8,3,6,7,10,1,6,5.85
Kind,Erwachsener,5,5,7,5,4,3,2,2,5,5,8,1,9,4.69
Kuh,Herde,8,0,8,4,5,7,7,0,6,6,0,9,10,5.38
Buch,Geschichte,7,0,9,2,0,10,8,7,7,4,2,8,6,5.38
Winter,Sommer,10,5,8,5,5,5,2,1,5,6,8,1,8,5.31
Taxi,Taxe,7,10,10,2,7,9,7,10,10,0,0,7,9,6.77
Baum,Ahorn,8,0,10,9,6,6,9,7,9,6,7,5,10,7.08
Bett,Schlafzimmer,9,0,10,2,5,7,8,7,7,6,4,4,9,6.00
Dach,Decke,5,5,6,3,5,3,8,1,8,5,5,9,4,5.15
Krankheit,Infektion,8,5,9,7,6,7,6,9,8,5,6,9,7,7.08
Arm,Schulter,7,5,5,4,5,7,8,3,7,7,5,6,8,5.92
Schaf,Lamm,5,10,10,0,9,9,9,6,5,7,9,8,10,7.46
Dame,Herr,2,0,0,10,5,2,2,7,5,1,0,0,0,2.62
Boot,Anker,3,3,7,8,5,6,4,9,8,3,0,10,1,5.15
Priester,Mönch,7,6,8,10,9,7,8,8,8,9,5,10,2,7.46
Zeh,Finger,3,3,1,7,6,6,1,8,4,1,0,0,3,3.31
Fluss,Strom,8,8,5,0,9,8,8,8,10,9,10,2,7,7.08
Zorn,Wut,10,7,10,10,8,10,9,8,10,9,10,10,8,9.15
Datum,Kalender,7,3,4,8,8,6,2,9,9,4,0,10,3,5.62
Meer,Ozean,10,9,6,9,10,8,10,10,7,10,10,5,7,8.54
Sekunde,Minute,3,3,1,6,8,5,0,8,3,6,0,0,2,3.46
Hand,Daumen,6,5,2,9,8,2,3,8,9,6,0,6,2,5.08
Holz,Scheit,6,6,10,9,9,6,3,8,10,8,10,8,3,7.38
Schlamm,Schmutz,4,6,5,9,9,6,3,9,7,7,10,10,3,6.77
Flur,Gang,10,9,6,9,10,8,4,9,10,10,10,10,8,8.69
Weise,Art,5,0,5,0,9,9,1,3,10,9,10,8,8,5.92
Maus,Katze,2,0,1,5,4,5,3,7,3,2,0,0,0,2.46
Polizist,Sheriff,10,6,0,10,10,10,9,10,10,10,10,9,4,8.31
Tod,Beerdigung,5,3,4,10,10,5,8,9,6,7,0,10,3,6.15
Musik,Melodie,6,7,2,10,10,7,6,8,9,8,10,10,5,7.54
Bier,Alkohol,2,6,3,10,10,6,3,8,9,7,0,10,4,6.00
