Word1,Word2,1,2,3,4,5,6,7,8,9,10,11,12,13,Average Score
gehen,kommen,0,9,0,7,6,0,10,1,1,3,3,0,0,3.08
nehmen,stehlen,1,3,0,2,4,8,0,3,8,7,8,5,7,4.31
zuhören,hören,4,9,4,6,9,6,10,8,9,9,8,5,8,7.31
denken,rationalisieren,0,6,1,3,5,8,0,1,2,7,5,0,1,3.00
vorkommen,passieren,5,9,2,4,9,9,10,9,9,8,6,7,9,7.38
vergehen,verschwinden,6,8,0,6,3,7,0,3,0,8,8,1,8,4.46
vermehren,teilen,2,0,0,2,4,7,0,3,2,0,3,0,7,2.31
bitten,betteln,5,5,1,7,9,8,10,7,9,7,8,6,5,6.69
beginnen,entstehen,1,7,5,1,8,8,0,8,10,8,10,6,7,6.08
beschützen,verteidigen,6,9,5,7,7,8,10,9,9,8,9,9,8,8.00
töten,zerstören,1,6,0,6,7,8,10,7,7,6,8,4,6,5.85
erschaffen,anfertigen,5,6,9,8,7,7,0,10,9,8,7,8,9,7.15
annehmen,ablehnen,0,0,0,1,0,0,0,1,0,0,0,0,0,0.15
übergehen,vermeiden,2,7,0,2,2,2,0,6,7,6,5,1,5,3.46
tragen,bringen,0,7,0,4,2,3,0,5,0,4,4,3,6,2.92
verlassens,eintreten,0,0,0,2,0,0,0,1,0,0,0,0,0,0.23
auswählen,wählen,7,10,10,7,8,8,10,10,10,10,10,5,9,8.77
verlieren,scheitern,2,9,9,4,8,7,0,9,10,6,10,7,7,6.77
ermutigen,entmutigen,0,0,0,2,0,0,0,1,0,0,0,0,0,0.23
erreichen,vollenden,2,10,5,7,8,5,10,8,10,8,10,7,5,7.31
anfertigen,erbauen,4,7,7,6,7,7,0,10,8,8,7,7,6,6.46
hören,gehorchen,2,5,7,4,4,8,0,7,7,7,6,5,6,5.23
mitteilen,benachrichtigen,6,9,3,6,7,9,10,8,9,9,9,9,7,7.77
erhalten,geben,0,0,0,2,0,6,1,4,8,0,5,2,0,2.15
ausleihen,betteln,2,0,1,3,3,3,1,1,0,0,0,1,4,1.46
nehmen,aneignen,0,8,4,10,10,8,3,6,9,10,6,10,2,6.62
raten,empfehlen,9,6,6,10,10,4,10,3,10,10,10,6,9,7.92
nachahmen,verkörpern,6,7,3,5,8,3,7,1,4,0,0,5,2,3.92
gewinnen,gelingen,6,6,2,7,3,1,5,4,6,7,0,6,4,4.38
denken,entscheiden,5,1,7,6,5,2,0,7,10,1,5,8,1,4.46
grüßen,treffen,1,0,2,3,0,6,0,2,7,4,0,0,2,2.08
zustimmen,bestreiten,0,0,2,2,0,2,0,5,0,0,2,0,4,1.31
genießen,unterhalten,3,1,5,0,8,1,3,4,0,2,3,0,7,2.85
zerstören,anfertigen,0,0,4,1,0,2,1,5,0,1,0,0,0,1.08
retten,beschützen,5,8,8,0,2,9,0,3,10,6,0,7,7,5.00
geben,leihen,0,6,3,2,5,3,3,5,7,9,4,8,5,4.62
verstehen,wissen,7,6,2,6,7,2,1,7,8,7,3,5,7,5.23
nehmen,erhalten,8,5,9,4,10,1,3,3,10,8,0,2,2,5.00
einsehen,anerkennen,8,9,10,6,2,3,0,3,4,1,5,7,5,4.85
entscheiden,auswählen,9,2,8,9,10,5,5,1,8,9,8,6,4,6.46
annehmen,glauben,9,1,3,5,2,4,0,3,10,10,5,9,6,5.15
behalten,besitzen,7,3,7,7,6,8,1,7,7,9,0,8,5,5.77
durchstreifen,wandern,8,9,8,7,8,8,4,6,10,10,0,9,8,7.31
gelingen,scheitern,0,0,4,2,0,1,0,5,0,1,3,0,0,1.23
ausgeben,sparen,0,0,1,3,0,2,2,2,0,0,0,0,1,0.85
verlassen,gehen,8,8,9,9,8,6,2,3,8,9,4,7,0,6.23
kommen,beiwohnen,6,7,2,7,3,5,0,5,6,7,0,0,3,3.92
wissen,glauben,8,0,1,5,3,7,3,6,0,5,1,0,0,3.00
versammeln,treffen,9,6,9,9,10,2,4,6,6,8,1,8,2,6.15
anfertigen,verdienen,0,0,3,0,0,6,0,3,0,1,0,2,5,1.54
vergessen,missachten,0,0,0,4,3,5,0,3,6,0,3,5,0,2.23
vermehren,hinzufügen,8,8,7,10,10,1,3,5,6,8,5,8,4,6.38
schrumpfen,wachsen,0,0,0,3,0,3,0,8,0,0,1,0,0,1.15
ankommen,verlassen,0,0,3,1,0,5,0,3,0,0,4,0,0,1.23
gelingen,versuchen,0,0,10,5,0,2,2,2,2,4,4,0,3,2.62
annehmen,verweigern,0,0,3,0,0,5,0,7,0,0,0,0,0,1.15
ankommen,kommen,8,4,3,7,7,9,5,5,8,8,8,9,4,6.54
zustimmen,abweichen,0,0,0,1,0,2,2,3,0,0,0,0,1,0.69
schicken,erhalten,8,0,2,2,0,6,1,3,0,1,5,0,0,2.15
gewinnen,dominieren,5,2,1,5,0,7,0,2,10,6,0,9,5,4.00
hinzufügen,teilen,4,0,4,6,0,3,0,5,0,1,2,1,3,2.23
töten,erdrosseln,10,9,9,8,5,3,7,2,7,9,3,8,8,6.77
erwerben,bekommen,9,8,4,8,10,3,3,2,8,7,5,9,5,6.23
teilnehmen,beitreten,6,0,7,7,8,6,3,8,10,2,3,8,6,5.69
verlassen,zurückbleiben,3,1,4,4,0,10,0,5,8,4,0,7,0,3.54
gehen,eintreten,8,2,2,6,5,2,1,4,0,0,5,3,2,3.08
nehmen,tragen,4,0,5,1,5,6,0,6,10,2,3,0,3,3.46
vergessen,lernen,0,0,0,0,0,5,1,5,0,2,8,0,4,1.92
ernennen,wählen,10,6,8,9,7,3,3,3,0,9,0,8,7,5.62
verloben,heiraten,7,0,9,5,4,3,7,8,0,8,1,3,6,4.69
fragen,beten,0,1,0,0,0,3,0,0,0,0,5,1,4,1.08
gehen,schicken,5,0,4,3,3,3,0,0,6,0,3,3,3,2.54
nehmen,überbringen,0,0,7,4,0,8,0,2,0,0,0,0,0,1.62
sprechen,hören,1,2,0,0,10,2,0,8,7,1,0,5,0,2.77
auswerten,beurteilen,7,7,2,5,6,8,5,7,3,8,3,7,7,5.77
behaupten,rationalisieren,1,2,0,0,2,8,0,8,1,1,0,6,0,2.23
verlieren,behalten,0,0,0,0,6,2,2,4,2,1,0,5,0,1.69
vergleichen,auswerten,6,6,7,7,6,4,5,6,7,6,4,7,6,5.92
durcheinanderbringen,ordnen,0,0,0,0,7,8,5,6,0,1,0,8,0,2.69
gehen,erlauben,0,2,0,0,4,4,0,7,0,0,0,3,0,1.54
nehmen,besitzen,2,1,0,7,5,2,3,7,6,4,2,4,2,3.46
lernen,zuhören,8,3,6,1,6,3,3,8,9,2,0,4,2,4.23
zerstören,erbauen,0,0,0,0,10,7,5,6,9,1,0,5,0,3.31
erschaffen,bauen,8,0,8,9,8,2,10,7,9,10,7,4,8,6.92
stehlen,kaufen,0,0,0,1,3,8,5,6,2,1,0,6,0,2.46
täten,erhängen,0,2,2,7,4,4,0,6,3,0,0,7,5,3.08
vergessen,wissen,0,0,0,0,9,6,4,8,5,1,0,3,0,2.77
erschaffen,vorstellen,2,1,0,0,1,2,0,5,6,1,0,6,0,1.85
tun,passieren,4,2,0,1,8,6,0,8,7,2,3,4,3,3.69
gewinnen,erreichen,9,1,4,7,2,1,0,6,9,9,8,8,8,5.54
geben,verweigern,0,1,0,0,3,4,4,6,0,1,0,4,0,1.77
verdienen,einnehmen,10,6,4,9,2,7,10,6,7,9,7,4,7,6.77
bekommen,legen,1,0,0,0,1,4,0,7,4,1,0,6,0,1.85
verorten,finden,7,3,7,1,1,6,0,8,1,1,7,4,6,4.00
erscheinen,beiwohnen,2,1,5,2,2,1,5,8,10,5,0,6,0,3.62
wissen,begreifen,7,2,2,3,7,4,7,8,10,4,5,5,8,5.54
vorgeben,vorstellen,3,1,2,1,6,5,1,7,7,5,2,6,0,3.54
befriedigen,zufriedenstellen,7,6,10,7,8,2,9,5,10,7,6,5,8,6.92
hegen,behalten,1,2,1,5,4,6,1,6,0,7,0,6,1,3.08
behaupten,abweichen,1,1,0,0,2,8,0,8,1,1,0,4,2,2.15
überwinden,dominieren,1,0,3,7,8,3,0,7,8,1,3,6,7,4.15
benehmen,gehorchen,4,3,0,4,6,4,0,5,5,3,3,4,7,3.69
zusammenarbeiten,teilnehmen,4,4,0,1,8,9,4,6,9,3,5,5,7,5.00
erreichen,versuchen,3,4,0,3,0,7,4,6,8,2,0,5,3,3.46
scheitern,entmutigen,6,2,6,4,5,2,3,7,6,4,3,8,5,4.69
beginnen,aufhören,0,1,0,0,10,5,4,6,0,1,0,6,0,2.54
sagen,teilnehmen,1,1,0,1,2,3,0,6,3,0,0,5,0,1.69
kommen,bringen,0,1,0,2,1,7,0,6,8,2,0,4,5,2.77
verkünden,ankündigen,9,6,9,9,7,5,10,8,10,9,8,5,6,7.77
lesen,begreifen,4,3,0,2,5,8,6,6,6,2,2,3,6,4.08
nehmen,zurücklassen,0,1,0,0,8,5,3,3,4,1,0,6,0,2.38
ausrufen,ankündigen,7,3,8,8,8,2,0,8,3,7,7,7,5,5.62
erwerben,erlangen,8,2,10,9,2,1,7,6,5,7,7,5,7,5.85
folgern,entscheiden,7,4,0,3,6,3,3,6,10,1,1,3,0,3.62
zufriedenstellen,anflehen,1,2,0,0,3,1,0,9,2,0,0,5,0,1.77
behaupten,beweisen,3,7,0,0,7,3,4,5,3,4,0,5,1,3.23
fragen,anflehen,1,0,6,1,6,4,0,4,10,4,0,7,3,3.54
finden,verschwinden,0,1,0,0,4,10,2,5,1,2,0,5,0,2.31
prüfen,überprüfen,8,6,10,9,6,9,9,6,9,10,7,6,9,8.00
versichern,rechtfertigen,5,2,3,2,4,0,0,4,0,6,1,5,4,2.77
mutmaßen,voraussagen,5,2,6,8,9,0,1,8,9,2,2,6,4,4.77
lernen,beurteilen,2,1,2,1,1,3,0,8,1,1,0,8,0,2.15
behaupten,rechtfertigen,4,4,7,1,3,0,3,7,3,1,3,5,5,3.54
anfertigen,werden,0,3,2,0,1,0,3,3,3,1,7,3,0,2.00
entdecken,entstehen,4,2,4,0,4,0,4,0,7,8,7,2,0,3.23
erreichen,gelingen,7,8,3,8,1,7,4,8,9,7,8,9,2,6.23
geben,stellen,7,2,3,0,0,0,0,4,5,9,4,3,0,2.85
verstehen,zuhören,7,6,2,0,4,4,7,1,5,2,9,2,4,4.08
ausdehnen,wachsen,10,4,2,6,5,6,8,7,7,4,7,7,9,6.31
ausleihen,verkaufen,1,0,0,2,0,1,2,0,5,7,5,1,0,1.85
behalten,beschützen,6,2,2,0,2,0,2,0,7,7,2,4,0,2.62
erklären,beweisen,8,1,3,4,0,5,7,2,8,7,9,6,7,5.15
mutmaßen,vorgeben,2,2,1,1,2,1,5,0,3,2,8,7,0,2.62
zustimmen,zufriedenstellen,4,6,1,3,0,5,7,0,6,3,6,2,5,3.69
vergeben,vergessen,9,6,6,0,0,0,8,5,4,9,9,1,6,4.85
klären,erklären,9,7,2,3,5,4,7,5,8,7,8,6,5,5.85
verstehen,vergeben,4,5,6,6,0,0,0,2,6,2,7,2,6,3.54
erinnern,vergessen,1,0,0,0,0,1,3,0,10,7,7,1,0,2.31
bekommen,zurückbleiben,1,2,2,0,0,0,4,0,3,2,5,1,0,1.54
erkennen,entdecken,9,6,3,5,3,0,7,7,8,9,2,4,6,5.31
benötigen,nachforschen,2,2,2,0,1,1,4,0,5,3,5,1,0,2.00
übergehen,fragen,1,1,0,0,0,0,0,0,6,6,2,1,0,1.31
denken,erkundigen,6,2,3,0,1,3,6,0,2,6,7,2,0,2.92
ablehnen,vermeiden,8,7,3,8,3,5,3,2,5,8,6,8,7,5.62
behaupten,überzeugen,7,7,1,6,3,2,1,5,6,7,7,3,3,4.46
verfolgen,überzeugen,3,3,0,3,0,1,1,0,4,4,6,1,0,2.00
einsehen,vergeben,7,6,3,6,2,3,4,2,4,5,3,3,0,3.69
tun,aufhören,1,0,1,0,0,0,3,0,6,9,3,1,0,1.85
untersuchen,überprüfen,10,9,2,7,9,5,9,8,6,9,5,7,6,7.08
debattieren,erklären,7,4,2,4,6,6,8,5,7,1,8,4,2,4.92
schulden,ausleihen,6,0,0,5,0,6,4,5,1,1,10,1,0,3.00
erkunden,entdecken,10,8,6,9,9,1,5,9,10,5,10,8,6,7.38
beschweren,behaupten,8,2,1,0,0,1,1,4,3,6,1,1,0,2.15
zurückziehen,ablehnen,10,5,1,6,4,0,0,1,7,4,5,7,0,3.85
behalten,ausleihen,1,3,0,0,0,1,3,0,8,9,5,0,0,2.31
betteln,fragen,8,3,1,0,6,2,1,4,5,6,4,5,5,3.85
anordnen,gliedern,9,4,1,8,4,6,0,8,7,3,2,8,9,5.31
verringern,schrumpfen,9,9,2,9,7,5,1,8,8,8,8,7,9,6.92
sprechen,anerkennen,6,2,1,0,0,1,2,0,3,3,7,2,2,2.23
geben,ausleihen,9,5,1,9,0,5,2,2,6,3,7,1,0,3.85
töten,verteidigen,8,1,2,0,1,0,1,0,5,6,6,0,0,2.31
verschwinden,schrumpfen,6,8,1,4,6,4,9,1,3,3,5,2,6,4.46
überbringen,tragen,5,5,0,2,0,3,8,6,4,4,7,3,0,3.62
atmen,ersticken,0,0,0,0,0,1,5,0,4,4,6,1,0,1.62
anerkennen,benachrichtigen,3,2,2,0,0,0,4,2,6,1,2,1,0,1.77
werden,scheinen,0,5,4,5,1,1,5,0,1,4,5,3,0,2.62
vorgeben,scheinen,7,4,1,7,0,2,4,10,3,8,3,1,5,4.23
vollenden,werden,8,7,4,7,1,0,2,6,4,5,3,6,0,4.08
nachsinnen,denken,9,8,2,8,7,5,9,8,7,5,7,0,7,6.31
festlegen,vorhersagen,8,5,1,0,1,4,6,5,4,3,3,2,0,3.23
zufriedenstellen,unterhalten,7,3,2,0,0,2,2,0,3,5,6,0,1,2.38
bleiben,zurückhalten,9,6,1,0,0,1,9,3,5,6,7,1,5,4.08
vorgeben,verkörpern,8,6,1,7,3,3,8,4,2,4,9,8,3,5.08
vergessen,beibehalten,1,3,0,1,5,3,7,0,0,2,0,6,4,2.46
