Word1,Word2,1,2,3,4,5,6,7,8,9,10,11,12,13,Average Score
старый,новый,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
сообразительный,интеллектуальный,8,9,10,9,7,7,9,9,9,8,8,6,9,8.31
тяжелый,трудный,8,10,10,9,7,6,10,9,9,8,8,10,8,8.62
счастливый,радостный,10,9,10,9,10,4,7,9,9,8,8,8,9,8.46
тяжелый,легкий,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
быстрый,скоростной,9,10,10,10,9,8,10,8,10,9,9,8,9,9.15
счастливый,довольный,9,9,10,9,10,5,9,9,6,7,7,7,8,8.08
короткий,длинный,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
глупый,тупой,7,10,0,9,10,9,10,9,9,9,8,8,9,8.23
чудной,странный,8,10,10,5,9,7,10,9,10,9,7,7,10,8.54
широкий,узкий,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
плохой,ужасный,10,8,10,9,9,6,10,9,7,9,8,8,9,8.62
легкий,трудный,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
плохой,ужасный,10,8,10,9,9,6,10,9,7,9,8,8,9,8.62
трудный,простой,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
сообразительный,тупой,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
безумный,сумасшедший,7,10,10,10,9,9,10,9,10,9,8,10,10,9.31
счастливый,рассерженный,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
большой,огромный,10,10,10,9,10,7,9,10,8,9,8,10,9,9.15
твердый,прочный,10,8,10,9,5,6,6,8,8,7,8,8,8,7.77
новый,свежий,9,10,10,9,8,6,10,8,8,0,6,8,9,7.77
острый,тупой,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
скорый,скоростной,9,10,10,9,9,8,10,7,9,9,10,10,9,9.15
тупой,дурацкий,5,10,5,8,9,6,9,10,5,8,8,8,7,7.54
прекрасный,потрясающий,8,10,5,10,9,7,10,9,10,8,8,8,8,8.46
странный,необычный,9,10,5,10,9,7,10,9,10,8,10,10,9,8.92
счастливый,злой,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
узкий,широкий,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
простой,легкий,10,10,10,9,7,7,5,0,10,9,8,6,0,7.00
старый,свежий,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
кажущийся,очевидный,0,0,0,3,8,0,0,7,0,0,9,10,1,2.92
недорогой,дешевый,10,10,10,10,10,10,10,8,7,9,10,10,9,9.46
приятный,великодушный,5,8,5,5,0,0,0,6,0,0,8,5,4,3.54
ненормальный,нормальный,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
ненормальный,необычный,5,8,0,5,10,7,5,9,9,7,0,6,6,5.92
плохой,безнравственный,7,8,0,3,6,3,10,9,7,5,6,6,6,5.85
печальный,смешной,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
прекрасный,великолепный,9,10,10,10,10,6,10,10,10,9,8,10,10,9.38
виноватый,пристыженный,7,8,7,7,9,8,8,7,9,7,8,7,7,7.62
красивый,прекрасный,10,10,10,10,10,8,10,10,9,10,8,8,9,9.38
самоуверенный,уверенный,7,9,10,9,7,8,9,8,7,7,8,7,0,7.38
тупой,глупый,8,10,10,9,9,9,10,10,6,9,9,7,9,8.85
крупный,большой,10,10,10,9,10,9,10,9,10,9,8,10,9,9.46
милый,жестокий,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
нетерпеливый,беспокойный,8,8,10,9,9,6,8,7,7,8,7,6,8,7.77
большой,широкий,2,3,6,5,3,2,2,4,5,3,3,3,2,3.31
сильный,гордый,5,2,3,6,2,3,2,3,4,1,2,4,5,3.23
ненужный,необходимый,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
неугомонный,молодой,0,8,0,3,6,1,0,3,2,0,0,0,1,1.85
тупой,интеллектуальный,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
плохой,великолепный,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
трудный,простой,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
необходимый,важный,10,2,8,10,9,8,10,9,6,7,5,5,7,7.38
плохой,потрясающий,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
рассерженный,довольный,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
честный,виноватый,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
легкий,трудный,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
покладистый,гибкий,2,0,5,5,2,4,7,7,0,5,5,3,7,4.00
убежденный,бесспорный,7,0,6,5,9,5,10,9,7,5,6,1,7,5.92
неотъемлемый,необходимый,10,5,9,10,9,8,10,9,9,6,8,4,9,8.15
необычный,обычный,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
хитрый,умный,0,0,0,5,5,4,8,3,4,3,0,5,7,3.38
решающий,важный,9,0,7,5,10,8,10,9,7,7,8,6,6,7.08
жесткий,жестокий,0,0,2,0,8,7,7,0,0,8,7,7,3,3.77
ребячливый,безрассудный,1,5,1,0,7,7,7,7,3,7,5,9,7,5.08
скудный,редкий,5,0,0,0,4,6,10,3,7,2,9,9,8,4.85
дружелюбный,великодушный,10,0,7,5,2,3,8,1,2,5,6,4,5,4.46
ранимый,бесстрастный,0,0,0,0,0,0,0,0,0,0,0,0,2,0.15
длинный,узкий,0,0,0,0,0,0,7,0,0,0,0,0,6,1.00
большой,тяжелый,9,0,0,0,8,2,10,0,0,0,3,0,6,2.92
грубый,равнодушный,7,5,2,0,3,0,2,5,2,0,2,5,4,2.85
эксцентричный,странный,5,7,0,0,9,8,7,6,9,8,6,10,7,6.31
нелегальный,безнравственный,0,0,0,5,4,0,6,0,0,0,0,1,5,1.62
плохой,виноватый,5,5,0,0,2,0,0,1,0,2,0,0,6,1.62
современный,старинный,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
новый,старый,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
