Word1,Word2,1,2,3,4,5,6,7,8,9,10,11,12,13,Average Score
идти,приходить,8,1,8,9,7,5,7,8,5,8,7,6,5,6.46
брать,красть,5,0,0,0,1,7,4,0,2,5,0,6,5,2.69
слушать,слышать,9,9,8,10,8,7,6,0,10,10,5,9,0,7.00
думать,обосновывать,9,1,8,2,9,5,5,1,5,3,5,5,7,5.00
случаться,происходить,10,9,10,10,9,9,10,9,10,10,10,10,7,9.46
пропадать,исчезать,9,9,10,10,8,9,10,9,10,10,10,10,7,9.31
умножать,делить,2,0,0,0,0,0,0,0,0,3,0,1,0,0.46
просить,умолять,10,1,10,10,9,8,8,8,9,10,9,9,5,8.15
начинать,происходить,7,1,7,2,0,6,5,0,10,3,1,6,5,4.08
защищать,отстаивать,9,9,10,10,10,8,8,9,10,10,7,8,7,8.85
убивать,уничтожать,10,1,8,10,10,9,9,7,5,10,9,8,7,7.92
создавать,делать,8,1,10,10,10,8,9,8,10,10,9,8,7,8.31
принимать,отвергать,5,0,0,0,0,0,0,0,0,4,0,0,0,0.69
игнорировать,избегать,10,1,10,6,8,8,9,6,10,8,9,9,7,7.77
нести,приносить,8,1,10,10,0,8,9,6,6,7,9,7,5,6.62
покидать,входить,5,0,1,0,0,1,0,0,0,0,0,2,0,0.69
выбирать,избирать,9,2,10,10,10,8,9,8,10,10,9,9,7,8.54
проигрывать,проваливать,3,1,7,8,6,1,9,0,9,0,0,0,7,3.92
подбодрять,отговаривать,4,0,0,0,0,0,0,0,0,0,0,1,0,0.38
достигать,завершать,8,1,6,7,7,5,8,7,8,10,4,8,7,6.62
делать,строить,4,1,8,8,6,7,9,7,7,6,7,6,7,6.38
слушать,подчиняться,5,2,7,0,9,1,6,7,10,8,9,1,0,5.00
информировать,сообщать,10,9,10,10,10,9,10,9,10,10,10,9,7,9.46
получать,давать,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08
занимать,нищенствовать,3,7,1,1,3,0,2,1,10,3,1,0,2,2.62
брать,получать,6,9,2,1,0,9,4,7,0,0,5,5,5,4.08
советовать,рекомендовать,10,9,10,10,10,10,6,10,10,10,10,8,10,9.46
имитировать,изображать,4,8,9,8,10,9,7,10,0,8,10,7,8,7.54
побеждать,преуспевать,7,0,8,7,10,0,5,7,10,6,6,4,6,5.85
думать,решать,8,7,9,9,10,7,4,8,5,4,4,0,4,6.08
приветствовать,встречать,4,8,7,9,10,8,4,9,10,7,5,6,6,7.15
соглашаться,спорить,0,0,0,0,1,0,0,0,0,0,0,0,1,0.15
наслаждаться,развлекаться,4,7,8,8,10,8,5,2,10,8,5,7,5,6.69
разрушать,создавать,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
сохранять,защищать,6,8,8,9,10,8,3,8,10,6,5,3,5,6.85
давать,одалживать,6,8,9,8,10,7,0,8,10,7,4,5,7,6.85
понимать,знать,8,7,9,8,9,8,7,4,5,7,5,4,7,6.77
брать,получать,6,9,2,1,0,9,4,7,0,0,5,5,5,4.08
принимать,признавать,7,8,7,9,10,6,3,9,10,9,7,0,7,7.08
решать,выбирать,2,0,9,9,10,6,8,8,5,6,10,6,9,6.77
принимать,верить,4,0,1,1,9,0,1,3,8,4,1,0,1,2.54
хранить,владеть,5,0,8,9,10,8,2,1,10,7,2,5,2,5.31
странствовать,бродить,6,10,8,9,10,8,6,7,10,9,7,8,8,8.15
преуспевать,проваливать,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
тратить,копить,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
покидать,идти,2,0,5,0,9,0,2,2,0,4,1,0,1,2.00
приходить,посещать,9,9,7,8,10,9,6,9,10,7,3,6,9,7.85
знать,верить,3,0,1,0,9,0,2,5,0,5,5,0,5,2.69
собираться,встречаться,0,9,9,9,10,8,7,9,10,9,6,0,6,7.08
добывать,зарабатывать,9,0,8,9,10,7,7,6,8,9,5,4,4,6.62
забывать,игнорировать,1,7,8,6,10,8,3,0,10,4,1,5,8,5.46
умножать,складывать,0,0,5,8,9,0,1,1,10,4,0,0,0,2.92
сжиматься,расти,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
прибывать,покидать,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
преуспевать,пытаться,0,6,6,0,6,0,1,1,0,3,0,0,0,1.77
принимать,отвергать,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
прибывать,приходить,10,8,8,10,10,9,5,1,10,9,10,6,9,8.08
соответствовать,различаться,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
посылать,получать,0,0,0,1,0,0,0,0,0,0,0,0,1,0.15
выигрывать,доминировать,6,8,7,7,10,6,2,8,10,8,10,4,10,7.38
складывать,делить,0,0,0,1,1,0,0,0,0,0,0,0,0,0.15
убивать,душить,5,8,7,8,10,7,6,6,10,8,4,5,8,7.08
приобретать,получать,6,8,8,7,10,9,7,4,10,10,10,6,10,8.08
участвовать,присоединяться,2,8,7,7,9,8,6,2,10,8,5,7,5,6.46
покидать,оставаться,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08
идти,входить,4,7,2,8,9,0,2,3,10,6,1,1,1,4.15
брать,нести,0,0,0,0,0,0,2,1,5,3,1,0,1,1.00
забывать,узнавать,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
назначать,избирать,8,0,7,9,0,0,1,0,0,8,2,0,2,2.85
обручаться,жениться,10,9,10,9,10,8,2,10,10,0,1,8,1,6.77
просить,молиться,4,8,5,8,9,6,5,2,5,5,6,2,6,5.46
